PPMB Goal Analysis 
Games from 2011-19 (8 seasons total)
Total Games: 212 (126 Wins, 86 Losses)

If the goal was met, how many of those games were wins?

PP Goals
Goal			#Total	#Won	#Won/#Total
Shoot 48%:		68	61	0.8970588235294118
Hold Under 48%:		171	117	0.6842105263157895
Free Throws:		71	59	0.8309859154929577
Out Rebound:		135	96	0.7111111111111111
Offensive Rebounds:	11	5	0.45454545454545453
Under Turnovers:	106	66	0.6226415094339622
Force Turnovers:	11	6	0.5454545454545454
First Half:		89	62	0.6966292134831461
Second Half:		52	40	0.7692307692307693

Opponent Goals
Goal			#Total	#Won	#Won/#Total
Shoot 48%:		41	32	0.7804878048780488
Hold Under 48%:		144	79	0.5486111111111112
Free Throws:		40	29	0.725
Out Rebound:		68	43	0.6323529411764706
Offensive Rebounds:	6	2	0.3333333333333333
Under Turnovers:	123	51	0.4146341463414634
Force Turnovers:	17	10	0.5882352941176471
First Half:		80	53	0.6625
Second Half:		35	24	0.6857142857142857

If the game was won, how many times was the goal met?

PP Wins
Goal			#Goal	#Won	#Goal/#Won
Shoot 48%:		61	126	0.48412698412698413
Hold Under 48%:		117	126	0.9285714285714286
Free Throws:		59	126	0.46825396825396826
Out Rebound:		96	126	0.7619047619047619
Offensive Rebounds:	5	126	0.03968253968253968
Under Turnovers:	66	126	0.5238095238095238
Force Turnovers:	6	126	0.047619047619047616
First Half:		62	126	0.49206349206349204
Second Half:		40	126	0.31746031746031744

Opponent Wins
Goal			#Goal	#Won	#Goal/#Won
Shoot 48%:		32	86	0.37209302325581395
Hold Under 48%:		79	86	0.9186046511627907
Free Throws:		29	86	0.3372093023255814
Out Rebound:		43	86	0.5
Offensive Rebounds:	2	86	0.023255813953488372
Under Turnovers:	51	86	0.5930232558139535
Force Turnovers:	10	86	0.11627906976744186
First Half:		53	86	0.6162790697674418
Second Half:		24	86	0.27906976744186046


